,drug_combination,cell_line,synergy
400,MK-1775 + Cisplatin,DIFI,1.0
401,MK-1775 + Nutlin-3a (-),DIFI,1.0
402,MK-1775 + Pictilisib,DIFI,1.0
403,MK-2206 + OSI-027,DIFI,1.0
404,Navitoclax + Afatinib,DIFI,1.0
405,Navitoclax + Axitinib,DIFI,1.0
406,Navitoclax + Taselisib,DIFI,1.0
407,Navitoclax + Trametinib,DIFI,1.0
408,Nilotinib + Trametinib,DIFI,1.0
409,Olaparib + MK-1775,DIFI,0.0
410,Taselisib + Afatinib,DIFI,0.0
411,Taselisib + LGK974,DIFI,1.0
412,Taselisib + Linsitinib,DIFI,1.0
413,Taselisib + MK-2206,DIFI,1.0
414,Taselisib + Navitoclax,DIFI,1.0
415,Taselisib + OSI-027,DIFI,1.0
416,Taselisib + Olaparib,DIFI,
417,Taselisib + Palbociclib,DIFI,0.0
418,Taselisib + Sapitinib,DIFI,0.0
419,Taselisib + Trametinib,DIFI,1.0
420,Trametinib + Afatinib,DIFI,0.0
421,Trametinib + LGK974,DIFI,1.0
422,Trametinib + Linsitinib,DIFI,1.0
423,Trametinib + MK-2206,DIFI,1.0
424,Trametinib + Navitoclax,DIFI,1.0
425,Trametinib + Olaparib,DIFI,
426,Trametinib + Palbociclib,DIFI,0.0
427,Trametinib + Pictilisib,DIFI,1.0
428,Trametinib + SCH772984,DIFI,1.0
429,Trametinib + Taselisib,DIFI,1.0
430,AZD7762 + Cisplatin,GP5D,1.0
431,AZD7762 + MK-1775,GP5D,1.0
432,Lapatinib + Crizotinib,GP5D,1.0
433,Lapatinib + Dabrafenib,GP5D,0.0
434,Lapatinib + LGK974,GP5D,1.0
435,Lapatinib + Linsitinib,GP5D,1.0
436,Lapatinib + MK-2206,GP5D,1.0
437,Lapatinib + Navitoclax,GP5D,1.0
438,Lapatinib + PD173074,GP5D,1.0
439,Lapatinib + Palbociclib,GP5D,1.0
440,Lapatinib + Pictilisib,GP5D,0.0
441,Lapatinib + Taselisib,GP5D,0.0
442,Lapatinib + Trametinib,GP5D,1.0
443,MK-1775 + Cisplatin,GP5D,1.0
444,MK-1775 + Nutlin-3a (-),GP5D,1.0
445,MK-1775 + Pictilisib,GP5D,0.0
446,MK-2206 + OSI-027,GP5D,1.0
447,Navitoclax + Afatinib,GP5D,1.0
448,Navitoclax + Axitinib,GP5D,1.0
449,Navitoclax + Taselisib,GP5D,1.0
450,Navitoclax + Trametinib,GP5D,1.0
451,Nilotinib + Trametinib,GP5D,1.0
452,Olaparib + MK-1775,GP5D,0.0
453,Taselisib + Afatinib,GP5D,0.0
454,Taselisib + LGK974,GP5D,1.0
455,Taselisib + Linsitinib,GP5D,1.0
456,Taselisib + MK-2206,GP5D,0.0
457,Taselisib + Navitoclax,GP5D,1.0
458,Taselisib + OSI-027,GP5D,0.0
459,Taselisib + Olaparib,GP5D,1.0
460,Taselisib + Palbociclib,GP5D,1.0
461,Taselisib + Sapitinib,GP5D,0.0
462,Taselisib + Trametinib,GP5D,1.0
463,Trametinib + Afatinib,GP5D,1.0
464,Trametinib + LGK974,GP5D,1.0
465,Trametinib + Linsitinib,GP5D,1.0
466,Trametinib + MK-2206,GP5D,1.0
467,Trametinib + Navitoclax,GP5D,1.0
468,Trametinib + Olaparib,GP5D,1.0
469,Trametinib + Palbociclib,GP5D,1.0
470,Trametinib + Pictilisib,GP5D,1.0
471,Trametinib + SCH772984,GP5D,0.0
472,Trametinib + Taselisib,GP5D,1.0
473,AZD7762 + Cisplatin,HCC2998,1.0
474,AZD7762 + MK-1775,HCC2998,1.0
475,Lapatinib + Crizotinib,HCC2998,1.0
476,Lapatinib + Dabrafenib,HCC2998,1.0
477,Lapatinib + LGK974,HCC2998,0.0
478,Lapatinib + Linsitinib,HCC2998,1.0
479,Lapatinib + MK-2206,HCC2998,1.0
480,Lapatinib + Navitoclax,HCC2998,0.0
481,Lapatinib + PD173074,HCC2998,1.0
482,Lapatinib + Palbociclib,HCC2998,0.0
483,Lapatinib + Pictilisib,HCC2998,0.0
484,Lapatinib + Taselisib,HCC2998,0.0
485,Lapatinib + Trametinib,HCC2998,1.0
486,MK-1775 + Cisplatin,HCC2998,1.0
487,MK-1775 + Nutlin-3a (-),HCC2998,1.0
488,MK-1775 + Pictilisib,HCC2998,1.0
489,MK-2206 + OSI-027,HCC2998,1.0
490,Navitoclax + Afatinib,HCC2998,1.0
491,Navitoclax + Axitinib,HCC2998,1.0
492,Navitoclax + Taselisib,HCC2998,1.0
493,Navitoclax + Trametinib,HCC2998,1.0
494,Nilotinib + Trametinib,HCC2998,1.0
495,Olaparib + MK-1775,HCC2998,1.0
496,Taselisib + Afatinib,HCC2998,1.0
497,Taselisib + LGK974,HCC2998,1.0
498,Taselisib + Linsitinib,HCC2998,1.0
499,Taselisib + MK-2206,HCC2998,1.0
500,Taselisib + Navitoclax,HCC2998,1.0
501,Taselisib + OSI-027,HCC2998,1.0
502,Taselisib + Olaparib,HCC2998,0.0
503,Taselisib + Palbociclib,HCC2998,1.0
504,Taselisib + Sapitinib,HCC2998,1.0
505,Taselisib + Trametinib,HCC2998,1.0
506,Trametinib + Afatinib,HCC2998,1.0
507,Trametinib + LGK974,HCC2998,1.0
508,Trametinib + Linsitinib,HCC2998,1.0
509,Trametinib + MK-2206,HCC2998,1.0
510,Trametinib + Navitoclax,HCC2998,1.0
511,Trametinib + Olaparib,HCC2998,1.0
