,drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
77,MK-1775,Cisplatin,PD_14,PD_01,SW1116,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
78,MK-1775,Cisplatin,PD_14,PD_01,SW1417,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
79,MK-1775,Cisplatin,PD_14,PD_01,SW1463,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
80,MK-1775,Cisplatin,PD_14,PD_01,SW48,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
81,MK-1775,Cisplatin,PD_14,PD_01,SW620,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
82,MK-1775,Cisplatin,PD_14,PD_01,SW626,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
83,MK-1775,Cisplatin,PD_14,PD_01,SW837,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
84,MK-1775,Cisplatin,PD_14,PD_01,SW948,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
85,MK-1775,Cisplatin,PD_14,PD_01,T84,1,PD_14-PD_01,MK-1775 + Cisplatin,WEE1i,ATMa,WEE1i + ATMa,"['PLK1', 'WEE1']",['ATM'],"['PLK1', 'WEE1'] + ['ATM']"
86,Trametinib,Navitoclax,PD_15,PD_02,C2BBE1,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
87,Trametinib,Navitoclax,PD_15,PD_02,CCK81,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
88,Trametinib,Navitoclax,PD_15,PD_02,CL11,1,PD_15-PD_02,Trametinib + Navitoclax,MEKi,BCL2i,MEKi + BCL2i,['MEK_f'],"['BCL2', 'BCL2L1']","['MEK_f'] + ['BCL2', 'BCL2L1']"
