,inhibitor_combination,cell_line,synergy
389,PI3Ki + BCL2i,DIFI,1.0
390,PI3Ki + CDKi,DIFI,0.0
391,PI3Ki + ErrBi,DIFI,0.0
392,PI3Ki + IGFRi,DIFI,1.0
393,PI3Ki + MEKi,DIFI,1.0
394,PI3Ki + MTORi,DIFI,1.0
395,PI3Ki + PARPi,DIFI,
396,PI3Ki + PORCNi,DIFI,1.0
397,WEE1i + ATMa,DIFI,1.0
398,WEE1i + MDM2i,DIFI,1.0
399,WEE1i + PI3Ki,DIFI,1.0
400,ABL1i + MEKi,GP5D,1.0
401,AKTi + MTORi,GP5D,1.0
402,BCL2i + EGFRi,GP5D,1.0
403,BCL2i + ErrBi,GP5D,1.0
404,BCL2i + MEKi,GP5D,1.0
405,BCL2i + PI3Ki,GP5D,1.0
406,CHEKi + ATMa,GP5D,1.0
407,CHEKi + WEE1i,GP5D,1.0
408,ErrBi + AKTi,GP5D,1.0
409,ErrBi + BCL2i,GP5D,1.0
410,ErrBi + CDKi,GP5D,1.0
411,ErrBi + FGFRi,GP5D,1.0
412,ErrBi + IGFRi,GP5D,1.0
413,ErrBi + MEKi,GP5D,1.0
414,ErrBi + METi,GP5D,1.0
415,ErrBi + PI3Ki,GP5D,0.0
416,ErrBi + PORCNi,GP5D,1.0
417,ErrBi + RAFi,GP5D,0.0
418,MEKi + AKTi,GP5D,1.0
419,MEKi + BCL2i,GP5D,1.0
420,MEKi + CDKi,GP5D,1.0
421,MEKi + ERKi,GP5D,0.0
422,MEKi + ErrBi,GP5D,1.0
423,MEKi + IGFRi,GP5D,1.0
424,MEKi + PARPi,GP5D,1.0
425,MEKi + PI3Ki,GP5D,1.0
426,MEKi + PORCNi,GP5D,1.0
427,PARPi + WEE1i,GP5D,0.0
428,PI3Ki + AKTi,GP5D,0.0
429,PI3Ki + BCL2i,GP5D,1.0
430,PI3Ki + CDKi,GP5D,1.0
431,PI3Ki + ErrBi,GP5D,0.0
432,PI3Ki + IGFRi,GP5D,1.0
433,PI3Ki + MEKi,GP5D,1.0
434,PI3Ki + MTORi,GP5D,0.0
435,PI3Ki + PARPi,GP5D,1.0
436,PI3Ki + PORCNi,GP5D,1.0
437,WEE1i + ATMa,GP5D,1.0
438,WEE1i + MDM2i,GP5D,1.0
439,WEE1i + PI3Ki,GP5D,0.0
440,ABL1i + MEKi,HCC2998,1.0
441,AKTi + MTORi,HCC2998,1.0
442,BCL2i + EGFRi,HCC2998,1.0
443,BCL2i + ErrBi,HCC2998,1.0
444,BCL2i + MEKi,HCC2998,1.0
445,BCL2i + PI3Ki,HCC2998,1.0
446,CHEKi + ATMa,HCC2998,1.0
447,CHEKi + WEE1i,HCC2998,1.0
448,ErrBi + AKTi,HCC2998,1.0
449,ErrBi + BCL2i,HCC2998,0.0
450,ErrBi + CDKi,HCC2998,0.0
451,ErrBi + FGFRi,HCC2998,1.0
452,ErrBi + IGFRi,HCC2998,1.0
453,ErrBi + MEKi,HCC2998,1.0
454,ErrBi + METi,HCC2998,1.0
455,ErrBi + PI3Ki,HCC2998,0.0
456,ErrBi + PORCNi,HCC2998,0.0
457,ErrBi + RAFi,HCC2998,1.0
458,MEKi + AKTi,HCC2998,1.0
459,MEKi + BCL2i,HCC2998,1.0
460,MEKi + CDKi,HCC2998,1.0
461,MEKi + ERKi,HCC2998,0.0
462,MEKi + ErrBi,HCC2998,1.0
463,MEKi + IGFRi,HCC2998,1.0
464,MEKi + PARPi,HCC2998,1.0
