drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
AZD-8055,Lapatinib,SNU-81,4.843770577,PD_02,PD_11
AZD-8055,Navitoclax,SNU-81,19.78773505,PD_02,PD_13
AZD-8055,Neratinib,SNU-81,-2.3710483,PD_02,PD_11
AZD-8055,Obatoclax,SNU-81,9.28287095,PD_02,PD_15
AZD-8055,Oxaliplatin,SNU-81,-3.794254574,PD_02,
AZD-8055,Palbociclib,SNU-81,-1.3300907,PD_02,PD_16
AZD-8055,SN-38,SNU-81,-8.918121394,PD_02,
AZD-8055,Ulixertinib,SNU-81,1.447512106,PD_02,PD_21
Capivasertib,Lapatinib,SNU-81,9.580301393,PD_03,PD_11
Capivasertib,Neratinib,SNU-81,7.648119942,PD_03,PD_11
Everolimus,Capivasertib,SNU-81,14.33003343,PD_08,PD_03
Everolimus,Ipatasertib,SNU-81,9.670047943,PD_08,PD_03
Everolimus,Lapatinib,SNU-81,7.004736944,PD_08,PD_11
Everolimus,Navitoclax,SNU-81,17.59253238,PD_08,PD_13
Everolimus,Neratinib,SNU-81,-1.984417187,PD_08,PD_11
Everolimus,Obatoclax,SNU-81,11.98869564,PD_08,PD_15
Everolimus,Oxaliplatin,SNU-81,0.597331782,PD_08,
Everolimus,Palbociclib,SNU-81,1.602410861,PD_08,PD_16
Everolimus,SN-38,SNU-81,-3.95686327,PD_08,
Everolimus,Ulixertinib,SNU-81,4.626996219,PD_08,PD_21
Ipatasertib,Lapatinib,SNU-81,5.752377805,PD_03,PD_11
Ipatasertib,Neratinib,SNU-81,-1.440619275,PD_03,PD_11
PF-477736,MK-1775,SNU-81,18.05223482,PD_18,PD_12
PF-477736,Niraparib,SNU-81,1.788240556,PD_18,PD_14
PF-477736,Olaparib,SNU-81,6.405582467,PD_18,PD_14
PF-477736,Palbociclib,SNU-81,-0.19227356,PD_18,PD_16
PF-477736,PF-3644022,SNU-81,5.64211309,PD_18,PD_17
Prexasertib,MK-1775,SNU-81,16.01285368,PD_18,PD_12
Prexasertib,Niraparib,SNU-81,2.831807038,PD_18,PD_14
Prexasertib,Olaparib,SNU-81,0.335434674,PD_18,PD_14
Prexasertib,Palbociclib,SNU-81,-4.17103012,PD_18,PD_16
Prexasertib,PF-3644022,SNU-81,2.956348505,PD_18,PD_17
Torin 1,Capivasertib,SNU-81,8.069323558,PD_08,PD_03
Torin 1,Ipatasertib,SNU-81,6.572988601,PD_08,PD_03
Torin 1,Lapatinib,SNU-81,2.587072825,PD_08,PD_11
Torin 1,Navitoclax,SNU-81,16.53046289,PD_08,PD_13
Torin 1,Neratinib,SNU-81,-0.012075206,PD_08,PD_11
Torin 1,Obatoclax,SNU-81,13.30393368,PD_08,PD_15
Torin 1,Oxaliplatin,SNU-81,2.378884812,PD_08,
Torin 1,Palbociclib,SNU-81,-0.697246352,PD_08,PD_16
Torin 1,SN-38,SNU-81,-6.41066995,PD_08,
Torin 1,Ulixertinib,SNU-81,1.70752621,PD_08,PD_21
AZD-8055,Capivasertib,SW620,2.210337888,PD_02,PD_03
AZD-8055,Ipatasertib,SW620,-4.793498524,PD_02,PD_03
AZD-8055,Lapatinib,SW620,-10.46598019,PD_02,PD_11
AZD-8055,Navitoclax,SW620,5.716612568,PD_02,PD_13
AZD-8055,Neratinib,SW620,-0.942739704,PD_02,PD_11
AZD-8055,Obatoclax,SW620,-0.578742324,PD_02,PD_15
AZD-8055,Oxaliplatin,SW620,0.253639602,PD_02,
AZD-8055,Palbociclib,SW620,0.686716074,PD_02,PD_16
AZD-8055,SN-38,SW620,3.996429328,PD_02,
AZD-8055,Ulixertinib,SW620,4.971321198,PD_02,PD_21
Capivasertib,Lapatinib,SW620,1.971744588,PD_03,PD_11
Capivasertib,Neratinib,SW620,-5.07461875,PD_03,PD_11
Everolimus,Capivasertib,SW620,5.715075498,PD_08,PD_03
Everolimus,Ipatasertib,SW620,0.931724977,PD_08,PD_03
