drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Taselisib,Afatinib,PD_07,PD_03,RCM1,0
Taselisib,Afatinib,PD_07,PD_03,RKO,1
Taselisib,Afatinib,PD_07,PD_03,SKCO1,1
Taselisib,Afatinib,PD_07,PD_03,SNU175,0
Taselisib,Afatinib,PD_07,PD_03,SNU407,1
Taselisib,Afatinib,PD_07,PD_03,SNU61,1
Taselisib,Afatinib,PD_07,PD_03,SNUC1,1
Taselisib,Afatinib,PD_07,PD_03,SNUC2B,1
Taselisib,Afatinib,PD_07,PD_03,SNUC5,0
Taselisib,Afatinib,PD_07,PD_03,SW1116,1
Taselisib,Afatinib,PD_07,PD_03,SW1417,1
Taselisib,Afatinib,PD_07,PD_03,SW1463,1
Taselisib,Afatinib,PD_07,PD_03,SW48,0
Taselisib,Afatinib,PD_07,PD_03,SW620,1
Taselisib,Afatinib,PD_07,PD_03,SW626,1
Taselisib,Afatinib,PD_07,PD_03,SW837,1
Taselisib,Afatinib,PD_07,PD_03,SW948,1
Taselisib,Afatinib,PD_07,PD_03,T84,1
Trametinib,MK-2206,PD_08,PD_05,C2BBE1,1
Trametinib,MK-2206,PD_08,PD_05,CCK81,1
Trametinib,MK-2206,PD_08,PD_05,CL11,1
Trametinib,MK-2206,PD_08,PD_05,CL40,1
Trametinib,MK-2206,PD_08,PD_05,COLO205,1
Trametinib,MK-2206,PD_08,PD_05,COLO320HSR,0
Trametinib,MK-2206,PD_08,PD_05,COLO678,1
Trametinib,MK-2206,PD_08,PD_05,CW2,1
Trametinib,MK-2206,PD_08,PD_05,CAR1,1
Trametinib,MK-2206,PD_08,PD_05,DIFI,1
Trametinib,MK-2206,PD_08,PD_05,GP5D,1
Trametinib,MK-2206,PD_08,PD_05,HCC2998,1
Trametinib,MK-2206,PD_08,PD_05,HCT116,1
Trametinib,MK-2206,PD_08,PD_05,HCT15,1
Trametinib,MK-2206,PD_08,PD_05,HT29,1
Trametinib,MK-2206,PD_08,PD_05,HT55,0
Trametinib,MK-2206,PD_08,PD_05,KM12,1
Trametinib,MK-2206,PD_08,PD_05,LS123,1
Trametinib,MK-2206,PD_08,PD_05,LS180,1
Trametinib,MK-2206,PD_08,PD_05,LS411N,1
Trametinib,MK-2206,PD_08,PD_05,LS513,1
Trametinib,MK-2206,PD_08,PD_05,LOVO,1
Trametinib,MK-2206,PD_08,PD_05,MDST8,1
Trametinib,MK-2206,PD_08,PD_05,NCIH716,1
Trametinib,MK-2206,PD_08,PD_05,NCIH747,1
Trametinib,MK-2206,PD_08,PD_05,RCM1,1
Trametinib,MK-2206,PD_08,PD_05,RKO,1
Trametinib,MK-2206,PD_08,PD_05,SKCO1,1
Trametinib,MK-2206,PD_08,PD_05,SNU175,0
Trametinib,MK-2206,PD_08,PD_05,SNU407,1
Trametinib,MK-2206,PD_08,PD_05,SNU61,1
Trametinib,MK-2206,PD_08,PD_05,SNUC1,1
Trametinib,MK-2206,PD_08,PD_05,SNUC2B,1
Trametinib,MK-2206,PD_08,PD_05,SNUC5,1
Trametinib,MK-2206,PD_08,PD_05,SW1116,1
Trametinib,MK-2206,PD_08,PD_05,SW1417,0
Trametinib,MK-2206,PD_08,PD_05,SW1463,1
Trametinib,MK-2206,PD_08,PD_05,SW48,1
Trametinib,MK-2206,PD_08,PD_05,SW620,1
Trametinib,MK-2206,PD_08,PD_05,SW626,1
Trametinib,MK-2206,PD_08,PD_05,SW837,1
Trametinib,MK-2206,PD_08,PD_05,SW948,1
Trametinib,MK-2206,PD_08,PD_05,T84,1
Lapatinib,MK-2206,PD_03,PD_05,C2BBE1,1
Lapatinib,MK-2206,PD_03,PD_05,CCK81,1
Lapatinib,MK-2206,PD_03,PD_05,CL11,1
Lapatinib,MK-2206,PD_03,PD_05,CL40,1
Lapatinib,MK-2206,PD_03,PD_05,COLO205,1
Lapatinib,MK-2206,PD_03,PD_05,COLO320HSR,1
Lapatinib,MK-2206,PD_03,PD_05,COLO678,0
Lapatinib,MK-2206,PD_03,PD_05,CW2,1
Lapatinib,MK-2206,PD_03,PD_05,CAR1,1
