drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy
Taselisib,Olaparib,PD_12,PD_04,LS123,0
Taselisib,Olaparib,PD_12,PD_04,LS180,1
Taselisib,Olaparib,PD_12,PD_04,LS411N,1
Taselisib,Olaparib,PD_12,PD_04,LS513,0
Taselisib,Olaparib,PD_12,PD_04,LOVO,0
Taselisib,Olaparib,PD_12,PD_04,MDST8,0
Taselisib,Olaparib,PD_12,PD_04,NCIH716,0
Taselisib,Olaparib,PD_12,PD_04,NCIH747,1
Taselisib,Olaparib,PD_12,PD_04,RCM1,1
Taselisib,Olaparib,PD_12,PD_04,RKO,1
Taselisib,Olaparib,PD_12,PD_04,SKCO1,0
Taselisib,Olaparib,PD_12,PD_04,SNU175,0
Taselisib,Olaparib,PD_12,PD_04,SNU407,1
Taselisib,Olaparib,PD_12,PD_04,SNU61,0
Taselisib,Olaparib,PD_12,PD_04,SNUC1,0
Taselisib,Olaparib,PD_12,PD_04,SNUC2B,0
Taselisib,Olaparib,PD_12,PD_04,SNUC5,1
Taselisib,Olaparib,PD_12,PD_04,SW1116,1
Taselisib,Olaparib,PD_12,PD_04,SW1417,0
Taselisib,Olaparib,PD_12,PD_04,SW1463,0
Taselisib,Olaparib,PD_12,PD_04,SW48,1
Taselisib,Olaparib,PD_12,PD_04,SW620,0
Taselisib,Olaparib,PD_12,PD_04,SW626,1
Taselisib,Olaparib,PD_12,PD_04,SW837,1
Taselisib,Olaparib,PD_12,PD_04,SW948,0
Taselisib,Olaparib,PD_12,PD_04,T84,1
Navitoclax,Axitinib,PD_02,PD_05,C2BBE1,0
Navitoclax,Axitinib,PD_02,PD_05,CCK81,1
Navitoclax,Axitinib,PD_02,PD_05,CL11,1
Navitoclax,Axitinib,PD_02,PD_05,CL40,1
Navitoclax,Axitinib,PD_02,PD_05,COLO205,1
Navitoclax,Axitinib,PD_02,PD_05,COLO320HSR,1
Navitoclax,Axitinib,PD_02,PD_05,COLO678,1
Navitoclax,Axitinib,PD_02,PD_05,CW2,1
Navitoclax,Axitinib,PD_02,PD_05,CAR1,1
Navitoclax,Axitinib,PD_02,PD_05,DIFI,1
Navitoclax,Axitinib,PD_02,PD_05,GP5D,1
Navitoclax,Axitinib,PD_02,PD_05,HCC2998,1
Navitoclax,Axitinib,PD_02,PD_05,HCT116,1
Navitoclax,Axitinib,PD_02,PD_05,HCT15,1
Navitoclax,Axitinib,PD_02,PD_05,HT29,1
Navitoclax,Axitinib,PD_02,PD_05,HT55,1
Navitoclax,Axitinib,PD_02,PD_05,KM12,1
Navitoclax,Axitinib,PD_02,PD_05,LS123,1
Navitoclax,Axitinib,PD_02,PD_05,LS180,1
Navitoclax,Axitinib,PD_02,PD_05,LS411N,1
Navitoclax,Axitinib,PD_02,PD_05,LS513,1
Navitoclax,Axitinib,PD_02,PD_05,LOVO,1
Navitoclax,Axitinib,PD_02,PD_05,MDST8,1
Navitoclax,Axitinib,PD_02,PD_05,NCIH716,1
Navitoclax,Axitinib,PD_02,PD_05,NCIH747,1
Navitoclax,Axitinib,PD_02,PD_05,RCM1,1
Navitoclax,Axitinib,PD_02,PD_05,RKO,1
Navitoclax,Axitinib,PD_02,PD_05,SKCO1,1
Navitoclax,Axitinib,PD_02,PD_05,SNU175,1
Navitoclax,Axitinib,PD_02,PD_05,SNU407,1
Navitoclax,Axitinib,PD_02,PD_05,SNU61,1
Navitoclax,Axitinib,PD_02,PD_05,SNUC1,0
Navitoclax,Axitinib,PD_02,PD_05,SNUC2B,1
