,drug_combination,cell_line,synergy
399,Lapatinib + Trametinib,KU1919,1.0
400,MK-1775 + Cisplatin,KU1919,1.0
401,MK-1775 + Nutlin-3a (-),KU1919,0.0
402,MK-1775 + Pictilisib,KU1919,1.0
403,MK-2206 + OSI-027,KU1919,1.0
404,Navitoclax + Afatinib,KU1919,1.0
405,Navitoclax + Axitinib,KU1919,1.0
406,Navitoclax + Taselisib,KU1919,0.0
407,Navitoclax + Trametinib,KU1919,1.0
408,Nilotinib + Trametinib,KU1919,1.0
409,Olaparib + MK-1775,KU1919,0.0
410,Taselisib + Afatinib,KU1919,0.0
411,Taselisib + LGK974,KU1919,0.0
412,Taselisib + Linsitinib,KU1919,0.0
413,Taselisib + MK-2206,KU1919,1.0
414,Taselisib + Navitoclax,KU1919,0.0
415,Taselisib + OSI-027,KU1919,0.0
416,Taselisib + Olaparib,KU1919,0.0
417,Taselisib + Palbociclib,KU1919,1.0
418,Taselisib + Sapitinib,KU1919,0.0
419,Taselisib + Trametinib,KU1919,1.0
420,Trametinib + Afatinib,KU1919,1.0
421,Trametinib + LGK974,KU1919,1.0
422,Trametinib + Linsitinib,KU1919,1.0
423,Trametinib + MK-2206,KU1919,1.0
424,Trametinib + Navitoclax,KU1919,1.0
425,Trametinib + Olaparib,KU1919,1.0
426,Trametinib + Palbociclib,KU1919,1.0
427,Trametinib + Pictilisib,KU1919,1.0
428,Trametinib + SCH772984,KU1919,1.0
429,Trametinib + Taselisib,KU1919,1.0
430,AZD7762 + Cisplatin,LB831BLC,1.0
431,AZD7762 + MK-1775,LB831BLC,1.0
432,Lapatinib + Crizotinib,LB831BLC,1.0
433,Lapatinib + Dabrafenib,LB831BLC,1.0
434,Lapatinib + LGK974,LB831BLC,0.0
435,Lapatinib + Linsitinib,LB831BLC,1.0
436,Lapatinib + MK-2206,LB831BLC,1.0
437,Lapatinib + Navitoclax,LB831BLC,1.0
438,Lapatinib + PD173074,LB831BLC,1.0
439,Lapatinib + Palbociclib,LB831BLC,1.0
440,Lapatinib + Pictilisib,LB831BLC,0.0
441,Lapatinib + Taselisib,LB831BLC,1.0
442,Lapatinib + Trametinib,LB831BLC,0.0
443,MK-1775 + Cisplatin,LB831BLC,1.0
444,MK-1775 + Nutlin-3a (-),LB831BLC,1.0
445,MK-1775 + Pictilisib,LB831BLC,1.0
446,MK-2206 + OSI-027,LB831BLC,1.0
447,Navitoclax + Afatinib,LB831BLC,1.0
448,Navitoclax + Axitinib,LB831BLC,1.0
449,Navitoclax + Taselisib,LB831BLC,1.0
450,Navitoclax + Trametinib,LB831BLC,0.0
451,Nilotinib + Trametinib,LB831BLC,0.0
452,Olaparib + MK-1775,LB831BLC,1.0
453,Taselisib + Afatinib,LB831BLC,1.0
454,Taselisib + LGK974,LB831BLC,0.0
455,Taselisib + Linsitinib,LB831BLC,1.0
456,Taselisib + MK-2206,LB831BLC,0.0
457,Taselisib + Navitoclax,LB831BLC,0.0
458,Taselisib + OSI-027,LB831BLC,1.0
459,Taselisib + Olaparib,LB831BLC,1.0
460,Taselisib + Palbociclib,LB831BLC,1.0
461,Taselisib + Sapitinib,LB831BLC,0.0
462,Taselisib + Trametinib,LB831BLC,1.0
463,Trametinib + Afatinib,LB831BLC,1.0
464,Trametinib + LGK974,LB831BLC,0.0
465,Trametinib + Linsitinib,LB831BLC,1.0
466,Trametinib + MK-2206,LB831BLC,0.0
467,Trametinib + Navitoclax,LB831BLC,0.0
468,Trametinib + Olaparib,LB831BLC,1.0
469,Trametinib + Palbociclib,LB831BLC,0.0
470,Trametinib + Pictilisib,LB831BLC,1.0
471,Trametinib + SCH772984,LB831BLC,0.0
472,Trametinib + Taselisib,LB831BLC,1.0
473,AZD7762 + Cisplatin,RT112,1.0
474,AZD7762 + MK-1775,RT112,1.0
475,Lapatinib + Crizotinib,RT112,1.0
476,Lapatinib + Dabrafenib,RT112,0.0
477,Lapatinib + LGK974,RT112,1.0
478,Lapatinib + Linsitinib,RT112,1.0
479,Lapatinib + MK-2206,RT112,1.0
480,Lapatinib + Navitoclax,RT112,1.0
481,Lapatinib + PD173074,RT112,1.0
482,Lapatinib + Palbociclib,RT112,0.0
483,Lapatinib + Pictilisib,RT112,1.0
484,Lapatinib + Taselisib,RT112,1.0
485,Lapatinib + Trametinib,RT112,1.0
486,MK-1775 + Cisplatin,RT112,1.0
487,MK-1775 + Nutlin-3a (-),RT112,1.0
488,MK-1775 + Pictilisib,RT112,0.0
489,MK-2206 + OSI-027,RT112,1.0
490,Navitoclax + Afatinib,RT112,1.0
491,Navitoclax + Axitinib,RT112,1.0
492,Navitoclax + Taselisib,RT112,1.0
493,Navitoclax + Trametinib,RT112,1.0
494,Nilotinib + Trametinib,RT112,0.0
495,Olaparib + MK-1775,RT112,1.0
496,Taselisib + Afatinib,RT112,1.0
497,Taselisib + LGK974,RT112,1.0
498,Taselisib + Linsitinib,RT112,1.0
499,Taselisib + MK-2206,RT112,0.0
500,Taselisib + Navitoclax,RT112,1.0
501,Taselisib + OSI-027,RT112,1.0
502,Taselisib + Olaparib,RT112,1.0
503,Taselisib + Palbociclib,RT112,1.0
504,Taselisib + Sapitinib,RT112,1.0
505,Taselisib + Trametinib,RT112,1.0
506,Trametinib + Afatinib,RT112,1.0
507,Trametinib + LGK974,RT112,0.0
508,Trametinib + Linsitinib,RT112,0.0
509,Trametinib + MK-2206,RT112,1.0
510,Trametinib + Navitoclax,RT112,1.0
511,Trametinib + Olaparib,RT112,0.0
512,Trametinib + Palbociclib,RT112,1.0
513,Trametinib + Pictilisib,RT112,1.0
514,Trametinib + SCH772984,RT112,0.0
515,Trametinib + Taselisib,RT112,1.0
516,AZD7762 + Cisplatin,RT4,1.0
517,AZD7762 + MK-1775,RT4,1.0
518,Lapatinib + Crizotinib,RT4,1.0
519,Lapatinib + Dabrafenib,RT4,1.0
520,Lapatinib + LGK974,RT4,1.0
521,Lapatinib + Linsitinib,RT4,1.0
522,Lapatinib + MK-2206,RT4,1.0
523,Lapatinib + Navitoclax,RT4,1.0
524,Lapatinib + PD173074,RT4,1.0
525,Lapatinib + Palbociclib,RT4,1.0
526,Lapatinib + Pictilisib,RT4,0.0
527,Lapatinib + Taselisib,RT4,1.0
528,Lapatinib + Trametinib,RT4,1.0
529,MK-1775 + Cisplatin,RT4,1.0
530,MK-1775 + Nutlin-3a (-),RT4,0.0
531,MK-1775 + Pictilisib,RT4,1.0
532,MK-2206 + OSI-027,RT4,1.0
533,Navitoclax + Afatinib,RT4,1.0
534,Navitoclax + Axitinib,RT4,1.0
535,Navitoclax + Taselisib,RT4,0.0
536,Navitoclax + Trametinib,RT4,1.0
537,Nilotinib + Trametinib,RT4,1.0
538,Olaparib + MK-1775,RT4,1.0
539,Taselisib + Afatinib,RT4,1.0
540,Taselisib + LGK974,RT4,1.0
541,Taselisib + Linsitinib,RT4,0.0
542,Taselisib + MK-2206,RT4,0.0
543,Taselisib + Navitoclax,RT4,0.0
544,Taselisib + OSI-027,RT4,1.0
545,Taselisib + Olaparib,RT4,0.0
546,Taselisib + Palbociclib,RT4,0.0
547,Taselisib + Sapitinib,RT4,1.0
548,Taselisib + Trametinib,RT4,1.0
549,Trametinib + Afatinib,RT4,1.0
550,Trametinib + LGK974,RT4,1.0
551,Trametinib + Linsitinib,RT4,1.0
552,Trametinib + MK-2206,RT4,1.0
553,Trametinib + Navitoclax,RT4,1.0
554,Trametinib + Olaparib,RT4,0.0
555,Trametinib + Palbociclib,RT4,1.0
556,Trametinib + Pictilisib,RT4,1.0
557,Trametinib + SCH772984,RT4,0.0
558,Trametinib + Taselisib,RT4,1.0
559,AZD7762 + Cisplatin,SW1710,1.0
560,AZD7762 + MK-1775,SW1710,1.0
561,Lapatinib + Crizotinib,SW1710,1.0
562,Lapatinib + Dabrafenib,SW1710,1.0
563,Lapatinib + LGK974,SW1710,1.0
564,Lapatinib + Linsitinib,SW1710,1.0
565,Lapatinib + MK-2206,SW1710,1.0
566,Lapatinib + Navitoclax,SW1710,0.0
567,Lapatinib + PD173074,SW1710,1.0
568,Lapatinib + Palbociclib,SW1710,0.0
569,Lapatinib + Pictilisib,SW1710,0.0
570,Lapatinib + Taselisib,SW1710,1.0
571,Lapatinib + Trametinib,SW1710,1.0
572,MK-1775 + Cisplatin,SW1710,1.0
573,MK-1775 + Nutlin-3a (-),SW1710,1.0
574,MK-1775 + Pictilisib,SW1710,0.0
575,MK-2206 + OSI-027,SW1710,1.0
576,Navitoclax + Afatinib,SW1710,1.0
577,Navitoclax + Axitinib,SW1710,1.0
578,Navitoclax + Taselisib,SW1710,1.0
579,Navitoclax + Trametinib,SW1710,1.0
580,Nilotinib + Trametinib,SW1710,1.0
581,Olaparib + MK-1775,SW1710,1.0
582,Taselisib + Afatinib,SW1710,1.0
583,Taselisib + LGK974,SW1710,1.0
584,Taselisib + Linsitinib,SW1710,1.0
585,Taselisib + MK-2206,SW1710,0.0
586,Taselisib + Navitoclax,SW1710,0.0
587,Taselisib + OSI-027,SW1710,1.0
588,Taselisib + Olaparib,SW1710,0.0
589,Taselisib + Palbociclib,SW1710,0.0
590,Taselisib + Sapitinib,SW1710,1.0
