,drug_name_A,drug_name_B,PD_A,PD_B,cell_line,synergy,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
83,Taselisib,Navitoclax,PD_12,PD_02,TCCSUP,1,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
84,Taselisib,Navitoclax,PD_12,PD_02,UMUC3,0,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
85,Taselisib,Navitoclax,PD_12,PD_02,VMCUB1,1,PD_12-PD_02,Taselisib + Navitoclax,PI3Ki,BCL2i,PI3Ki + BCL2i,['PIK3CA'],"['BCL2', 'BCL2L1']","['PIK3CA'] + ['BCL2', 'BCL2L1']"
86,Trametinib,Olaparib,PD_15,PD_04,5637,0,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
87,Trametinib,Olaparib,PD_15,PD_04,639V,0,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
88,Trametinib,Olaparib,PD_15,PD_04,647V,1,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
89,Trametinib,Olaparib,PD_15,PD_04,BFTC905,0,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
90,Trametinib,Olaparib,PD_15,PD_04,CAL29,1,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
91,Trametinib,Olaparib,PD_15,PD_04,DSH1,1,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
92,Trametinib,Olaparib,PD_15,PD_04,HT1376,0,PD_15-PD_04,Trametinib + Olaparib,MEKi,PARPi,MEKi + PARPi,['MEK_f'],['PARP1'],['MEK_f'] + ['PARP1']
