drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B
Torin 1,oxaliplatin,NCI-H508,-1.935680647,PD_03,
Torin 1,Palbociclib,NCI-H508,11.42435726,PD_03,PD_08
Torin 1,SN-38,NCI-H508,1.11833861,PD_03,
Torin 1,Ulixertinib,NCI-H508,19.52687574,PD_03,PD_11
AZD-8055,Capivasertib,NCI-H716,8.944148811,PD_03,PD_01
AZD-8055,Ipatasertib,NCI-H716,6.25586048,PD_03,PD_01
AZD-8055,Lapatinib,NCI-H716,10.01179045,PD_03,PD_04
AZD-8055,Navitoclax,NCI-H716,31.14313627,PD_03,PD_09
AZD-8055,Neratinib,NCI-H716,13.31333844,PD_03,PD_04
AZD-8055,Obatoclax Mesylate,NCI-H716,42.11640673,PD_03,PD_10
AZD-8055,oxaliplatin,NCI-H716,17.42573768,PD_03,
AZD-8055,Palbociclib,NCI-H716,29.4676624,PD_03,PD_08
AZD-8055,SN-38,NCI-H716,49.26104393,PD_03,
AZD-8055,Ulixertinib,NCI-H716,45.50772733,PD_03,PD_11
Capivasertib,Lapatinib,NCI-H716,19.69565145,PD_01,PD_04
Capivasertib,Neratinib,NCI-H716,14.04998745,PD_01,PD_04
Everolimus,Capivasertib,NCI-H716,16.08856933,PD_03,PD_01
Everolimus,Ipatasertib,NCI-H716,12.31069201,PD_03,PD_01
Everolimus,Lapatinib,NCI-H716,18.07316705,PD_03,PD_04
Everolimus,Navitoclax,NCI-H716,35.01587065,PD_03,PD_09
Everolimus,Neratinib,NCI-H716,19.46031783,PD_03,PD_04
Everolimus,Obatoclax Mesylate,NCI-H716,56.1999919,PD_03,PD_10
Everolimus,oxaliplatin,NCI-H716,30.92550627,PD_03,
Everolimus,Palbociclib,NCI-H716,44.90407345,PD_03,PD_08
Everolimus,SN-38,NCI-H716,53.33261098,PD_03,
Everolimus,Ulixertinib,NCI-H716,52.27728655,PD_03,PD_11
Ipatasertib,Lapatinib,NCI-H716,5.611445388,PD_01,PD_04
Ipatasertib,Neratinib,NCI-H716,9.55234525,PD_01,PD_04
PF 477736,MK-1775 (Advosertib),NCI-H716,18.14721841,PD_02,PD_06
PF 477736,Niraparib,NCI-H716,-0.647269851,PD_02,PD_05
PF 477736,Olaparib,NCI-H716,6.276006551,PD_02,PD_05
PF 477736,Palbociclib,NCI-H716,2.136027257,PD_02,PD_08
PF 477736,PF-3644022,NCI-H716,3.47088757,PD_02,PD_07
Prexasertib,MK-1775 (Advosertib),NCI-H716,29.40472701,PD_02,PD_06
Prexasertib,Niraparib,NCI-H716,3.008575667,PD_02,PD_05
Prexasertib,Olaparib,NCI-H716,7.259808854,PD_02,PD_05
Prexasertib,Palbociclib,NCI-H716,-5.933722511,PD_02,PD_08
