,drug_name_A,drug_name_B,cell_line,synergy,PD_A,PD_B,Perturbation,drug_combination,inhibitor_group_A,inhibitor_group_B,inhibitor_combination,targets_A,targets_B,target_combination
20,Everolimus,SN-38,CAR1,5.01782167,PD_08,,PD_08-nan,Everolimus + SN-38,mTORi,,,"['mTOR_c1', 'mTOR_c2']",,
21,Everolimus,Ulixertinib,CAR1,8.515734785,PD_08,PD_21,PD_08-PD_21,Everolimus + Ulixertinib,mTORi,ERKi,mTORi + ERKi,"['mTOR_c1', 'mTOR_c2']",['ERK_f'],"['mTOR_c1', 'mTOR_c2'] + ['ERK_f']"
22,Ipatasertib,Lapatinib,CAR1,19.81067295,PD_03,PD_11,PD_03-PD_11,Ipatasertib + Lapatinib,AKTi,EGFRi,AKTi + EGFRi,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
23,Ipatasertib,Neratinib,CAR1,25.6004046,PD_03,PD_11,PD_03-PD_11,Ipatasertib + Neratinib,AKTi,EGFRi,AKTi + EGFRi,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
24,PF-477736,MK-1775,CAR1,24.42975696,PD_18,PD_12,PD_18-PD_12,PF-477736 + MK-1775,CHEKi,Wee1i,CHEKi + Wee1i,"['CHEK1', 'CHEK2']","['PLK1', 'WEE1']","['CHEK1', 'CHEK2'] + ['PLK1', 'WEE1']"
25,PF-477736,Niraparib,CAR1,1.278373141,PD_18,PD_14,PD_18-PD_14,PF-477736 + Niraparib,CHEKi,PARPi,CHEKi + PARPi,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
26,PF-477736,Olaparib,CAR1,0.600272222,PD_18,PD_14,PD_18-PD_14,PF-477736 + Olaparib,CHEKi,PARPi,CHEKi + PARPi,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
27,PF-477736,Palbociclib,CAR1,-12.87755678,PD_18,PD_16,PD_18-PD_16,PF-477736 + Palbociclib,CHEKi,CyclinDi,CHEKi + CyclinDi,"['CHEK1', 'CHEK2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']","['CHEK1', 'CHEK2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']"
28,PF-477736,PF-3644022,CAR1,9.079749956,PD_18,PD_17,PD_18-PD_17,PF-477736 + PF-3644022,CHEKi,MAPKi,CHEKi + MAPKi,"['CHEK1', 'CHEK2']",['MAPKAPK2'],"['CHEK1', 'CHEK2'] + ['MAPKAPK2']"
29,Prexasertib,MK-1775,CAR1,26.38022237,PD_18,PD_12,PD_18-PD_12,Prexasertib + MK-1775,CHEKi,Wee1i,CHEKi + Wee1i,"['CHEK1', 'CHEK2']","['PLK1', 'WEE1']","['CHEK1', 'CHEK2'] + ['PLK1', 'WEE1']"
30,Prexasertib,Niraparib,CAR1,-2.542851387,PD_18,PD_14,PD_18-PD_14,Prexasertib + Niraparib,CHEKi,PARPi,CHEKi + PARPi,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
31,Prexasertib,Olaparib,CAR1,3.166103226,PD_18,PD_14,PD_18-PD_14,Prexasertib + Olaparib,CHEKi,PARPi,CHEKi + PARPi,"['CHEK1', 'CHEK2']",['PARP1'],"['CHEK1', 'CHEK2'] + ['PARP1']"
32,Prexasertib,Palbociclib,CAR1,-28.38544047,PD_18,PD_16,PD_18-PD_16,Prexasertib + Palbociclib,CHEKi,CyclinDi,CHEKi + CyclinDi,"['CHEK1', 'CHEK2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']","['CHEK1', 'CHEK2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']"
33,Prexasertib,PF-3644022,CAR1,5.486514568,PD_18,PD_17,PD_18-PD_17,Prexasertib + PF-3644022,CHEKi,MAPKi,CHEKi + MAPKi,"['CHEK1', 'CHEK2']",['MAPKAPK2'],"['CHEK1', 'CHEK2'] + ['MAPKAPK2']"
34,Torin 1,Capivasertib,CAR1,11.87869306,PD_08,PD_03,PD_08-PD_03,Torin 1 + Capivasertib,mTORi,AKTi,mTORi + AKTi,"['mTOR_c1', 'mTOR_c2']",['AKT1'],"['mTOR_c1', 'mTOR_c2'] + ['AKT1']"
35,Torin 1,Ipatasertib,CAR1,13.03171247,PD_08,PD_03,PD_08-PD_03,Torin 1 + Ipatasertib,mTORi,AKTi,mTORi + AKTi,"['mTOR_c1', 'mTOR_c2']",['AKT1'],"['mTOR_c1', 'mTOR_c2'] + ['AKT1']"
36,Torin 1,Lapatinib,CAR1,16.66911758,PD_08,PD_11,PD_08-PD_11,Torin 1 + Lapatinib,mTORi,EGFRi,mTORi + EGFRi,"['mTOR_c1', 'mTOR_c2']","['ERBB2', 'EGFR']","['mTOR_c1', 'mTOR_c2'] + ['ERBB2', 'EGFR']"
37,Torin 1,Navitoclax,CAR1,15.10049765,PD_08,PD_13,PD_08-PD_13,Torin 1 + Navitoclax,mTORi,BCL2L1i,mTORi + BCL2L1i,"['mTOR_c1', 'mTOR_c2']","['BCL2', 'BCL2L1']","['mTOR_c1', 'mTOR_c2'] + ['BCL2', 'BCL2L1']"
38,Torin 1,Neratinib,CAR1,18.2824329,PD_08,PD_11,PD_08-PD_11,Torin 1 + Neratinib,mTORi,EGFRi,mTORi + EGFRi,"['mTOR_c1', 'mTOR_c2']","['ERBB2', 'EGFR']","['mTOR_c1', 'mTOR_c2'] + ['ERBB2', 'EGFR']"
39,Torin 1,Obatoclax,CAR1,13.00768481,PD_08,PD_15,PD_08-PD_15,Torin 1 + Obatoclax,mTORi,BCL2i,mTORi + BCL2i,"['mTOR_c1', 'mTOR_c2']",['BCL2'],"['mTOR_c1', 'mTOR_c2'] + ['BCL2']"
40,Torin 1,Oxaliplatin,CAR1,0.002205307,PD_08,,PD_08-nan,Torin 1 + Oxaliplatin,mTORi,,,"['mTOR_c1', 'mTOR_c2']",,
41,Torin 1,Palbociclib,CAR1,8.25217356,PD_08,PD_16,PD_08-PD_16,Torin 1 + Palbociclib,mTORi,CyclinDi,mTORi + CyclinDi,"['mTOR_c1', 'mTOR_c2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']","['mTOR_c1', 'mTOR_c2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']"
42,Torin 1,SN-38,CAR1,2.053586747,PD_08,,PD_08-nan,Torin 1 + SN-38,mTORi,,,"['mTOR_c1', 'mTOR_c2']",,
43,Torin 1,Ulixertinib,CAR1,11.6265273,PD_08,PD_21,PD_08-PD_21,Torin 1 + Ulixertinib,mTORi,ERKi,mTORi + ERKi,"['mTOR_c1', 'mTOR_c2']",['ERK_f'],"['mTOR_c1', 'mTOR_c2'] + ['ERK_f']"
44,AZD-8055,Capivasertib,LS123,7.64908779,PD_02,PD_03,PD_02-PD_03,AZD-8055 + Capivasertib,PIK3_MTORi,AKTi,PIK3_MTORi + AKTi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",['AKT1'],"['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['AKT1']"
45,AZD-8055,Ipatasertib,LS123,10.75500246,PD_02,PD_03,PD_02-PD_03,AZD-8055 + Ipatasertib,PIK3_MTORi,AKTi,PIK3_MTORi + AKTi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",['AKT1'],"['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['AKT1']"
46,AZD-8055,Lapatinib,LS123,16.68694203,PD_02,PD_11,PD_02-PD_11,AZD-8055 + Lapatinib,PIK3_MTORi,EGFRi,PIK3_MTORi + EGFRi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']","['ERBB2', 'EGFR']","['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['ERBB2', 'EGFR']"
47,AZD-8055,Navitoclax,LS123,23.22242042,PD_02,PD_13,PD_02-PD_13,AZD-8055 + Navitoclax,PIK3_MTORi,BCL2L1i,PIK3_MTORi + BCL2L1i,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']","['BCL2', 'BCL2L1']","['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['BCL2', 'BCL2L1']"
48,AZD-8055,Neratinib,LS123,20.18205147,PD_02,PD_11,PD_02-PD_11,AZD-8055 + Neratinib,PIK3_MTORi,EGFRi,PIK3_MTORi + EGFRi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']","['ERBB2', 'EGFR']","['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['ERBB2', 'EGFR']"
49,AZD-8055,Obatoclax,LS123,16.81648568,PD_02,PD_15,PD_02-PD_15,AZD-8055 + Obatoclax,PIK3_MTORi,BCL2i,PIK3_MTORi + BCL2i,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",['BCL2'],"['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['BCL2']"
50,AZD-8055,Oxaliplatin,LS123,8.21379961,PD_02,,PD_02-nan,AZD-8055 + Oxaliplatin,PIK3_MTORi,,,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",,
51,AZD-8055,Palbociclib,LS123,-0.977657128,PD_02,PD_16,PD_02-PD_16,AZD-8055 + Palbociclib,PIK3_MTORi,CyclinDi,PIK3_MTORi + CyclinDi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']","['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']"
52,AZD-8055,SN-38,LS123,12.76231228,PD_02,,PD_02-nan,AZD-8055 + SN-38,PIK3_MTORi,,,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",,
53,AZD-8055,Ulixertinib,LS123,5.327901919,PD_02,PD_21,PD_02-PD_21,AZD-8055 + Ulixertinib,PIK3_MTORi,ERKi,PIK3_MTORi + ERKi,"['PIK3CA', 'mTOR_c1', 'mTOR_c2']",['ERK_f'],"['PIK3CA', 'mTOR_c1', 'mTOR_c2'] + ['ERK_f']"
54,Capivasertib,Lapatinib,LS123,10.80763037,PD_03,PD_11,PD_03-PD_11,Capivasertib + Lapatinib,AKTi,EGFRi,AKTi + EGFRi,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
55,Capivasertib,Neratinib,LS123,17.06639207,PD_03,PD_11,PD_03-PD_11,Capivasertib + Neratinib,AKTi,EGFRi,AKTi + EGFRi,['AKT1'],"['ERBB2', 'EGFR']","['AKT1'] + ['ERBB2', 'EGFR']"
56,Everolimus,Capivasertib,LS123,15.01348574,PD_08,PD_03,PD_08-PD_03,Everolimus + Capivasertib,mTORi,AKTi,mTORi + AKTi,"['mTOR_c1', 'mTOR_c2']",['AKT1'],"['mTOR_c1', 'mTOR_c2'] + ['AKT1']"
57,Everolimus,Ipatasertib,LS123,15.05381289,PD_08,PD_03,PD_08-PD_03,Everolimus + Ipatasertib,mTORi,AKTi,mTORi + AKTi,"['mTOR_c1', 'mTOR_c2']",['AKT1'],"['mTOR_c1', 'mTOR_c2'] + ['AKT1']"
58,Everolimus,Lapatinib,LS123,24.45083972,PD_08,PD_11,PD_08-PD_11,Everolimus + Lapatinib,mTORi,EGFRi,mTORi + EGFRi,"['mTOR_c1', 'mTOR_c2']","['ERBB2', 'EGFR']","['mTOR_c1', 'mTOR_c2'] + ['ERBB2', 'EGFR']"
59,Everolimus,Navitoclax,LS123,23.37505288,PD_08,PD_13,PD_08-PD_13,Everolimus + Navitoclax,mTORi,BCL2L1i,mTORi + BCL2L1i,"['mTOR_c1', 'mTOR_c2']","['BCL2', 'BCL2L1']","['mTOR_c1', 'mTOR_c2'] + ['BCL2', 'BCL2L1']"
60,Everolimus,Neratinib,LS123,22.2139609,PD_08,PD_11,PD_08-PD_11,Everolimus + Neratinib,mTORi,EGFRi,mTORi + EGFRi,"['mTOR_c1', 'mTOR_c2']","['ERBB2', 'EGFR']","['mTOR_c1', 'mTOR_c2'] + ['ERBB2', 'EGFR']"
61,Everolimus,Obatoclax,LS123,10.93813505,PD_08,PD_15,PD_08-PD_15,Everolimus + Obatoclax,mTORi,BCL2i,mTORi + BCL2i,"['mTOR_c1', 'mTOR_c2']",['BCL2'],"['mTOR_c1', 'mTOR_c2'] + ['BCL2']"
62,Everolimus,Oxaliplatin,LS123,7.236142465,PD_08,,PD_08-nan,Everolimus + Oxaliplatin,mTORi,,,"['mTOR_c1', 'mTOR_c2']",,
63,Everolimus,Palbociclib,LS123,-1.367469055,PD_08,PD_16,PD_08-PD_16,Everolimus + Palbociclib,mTORi,CyclinDi,mTORi + CyclinDi,"['mTOR_c1', 'mTOR_c2']","['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']","['mTOR_c1', 'mTOR_c2'] + ['CCND1', 'CyclinD_CDK4_6', 'CyclinE_CDK2', 'CyclinB_CDK1']"
64,Everolimus,SN-38,LS123,14.67084002,PD_08,,PD_08-nan,Everolimus + SN-38,mTORi,,,"['mTOR_c1', 'mTOR_c2']",,
