,drug_combination,cell_line,synergy
205,Everolimus + Obatoclax,NCIH508,15.69192625
206,Everolimus + Palbociclib,NCIH508,15.73202407
207,Everolimus + Ulixertinib,NCIH508,17.27956662
208,Ipatasertib + Lapatinib,NCIH508,18.80737983
209,Ipatasertib + Neratinib,NCIH508,17.87378582
210,PF-477736 + MK-1775,NCIH508,19.72011014
211,PF-477736 + Niraparib,NCIH508,-6.883660357
212,PF-477736 + Olaparib,NCIH508,2.522965921
213,PF-477736 + PF-3644022,NCIH508,4.765836736
214,PF-477736 + Palbociclib,NCIH508,-7.66183318
215,Prexasertib + MK-1775,NCIH508,20.4678646
216,Prexasertib + Niraparib,NCIH508,-7.137621116
217,Prexasertib + Olaparib,NCIH508,2.796515242
218,Prexasertib + PF-3644022,NCIH508,1.848652622
219,Prexasertib + Palbociclib,NCIH508,-14.90277523
220,Torin 1 + Capivasertib,NCIH508,13.20568407
221,Torin 1 + Ipatasertib,NCIH508,7.778042723
222,Torin 1 + Lapatinib,NCIH508,9.727518505
223,Torin 1 + Navitoclax,NCIH508,25.11510262
224,Torin 1 + Neratinib,NCIH508,9.79876015
225,Torin 1 + Obatoclax,NCIH508,13.68948552
226,Torin 1 + Palbociclib,NCIH508,12.53973627
227,Torin 1 + Ulixertinib,NCIH508,12.74240127
228,AZD-8055 + Capivasertib,NCIH716,11.7102873
229,AZD-8055 + Ipatasertib,NCIH716,6.51080794
230,AZD-8055 + Lapatinib,NCIH716,6.927422095
231,AZD-8055 + Navitoclax,NCIH716,33.77740792
232,AZD-8055 + Neratinib,NCIH716,-1.547252128
233,AZD-8055 + Obatoclax,NCIH716,7.913572326
234,AZD-8055 + Palbociclib,NCIH716,-3.541904063
235,AZD-8055 + Ulixertinib,NCIH716,10.78640251
236,Capivasertib + Lapatinib,NCIH716,23.01587268
237,Capivasertib + Neratinib,NCIH716,10.14585583
238,Everolimus + Capivasertib,NCIH716,19.04292697
239,Everolimus + Ipatasertib,NCIH716,14.81865274
240,Everolimus + Lapatinib,NCIH716,14.35239411
